trace_index,source_x,source_y,group_x,group_y,cdp_x,cdp_y,inline,crossline,cdp,offset,elevation_scalar,coordinate_scalar
0,500000,6000000,500050,6000025,500025,6000012,100,200,1001,25,-10,-10
1,500100,6000050,500150,6000075,500125,6000062,100,201,1002,25,-10,-10
2,500200,6000100,500250,6000125,500225,6000112,100,202,1003,25,-10,-10
3,500300,6000150,500350,6000175,500325,6000162,101,200,1004,25,-10,-10
4,500400,6000200,500450,6000225,500425,6000212,101,201,1005,25,-10,-10
5,500500,6000250,500550,6000275,500525,6000262,101,202,1006,25,-10,-10
6,500600,6000300,500650,6000325,500625,6000312,102,200,1007,25,-10,-10
7,500700,6000350,500750,6000375,500725,6000362,102,201,1008,25,-10,-10
8,500800,6000400,500850,6000425,500825,6000412,102,202,1009,25,-10,-10
9,500900,6000450,500950,6000475,500925,6000462,103,200,1010,25,-10,-10
